Titel;Satz;Position1;Position2;Suspense
Der Fremde;Der Weg führte durch einen dichten Eichenwald, der sich bis nahe vor die Thore der Stadt erstreckte.;8506;8606;/1
Der Untergang des Hauses Usher;Und nun, da der Held der schrecklichen Wut des Drachen entronnen war und sich des stählernen Schildes erinnerte, dessen Zauber nun gebrochen, räumte er den Kadaver beiseite und schritt über das silberne Pflaster kühn hin zu dem Schild an der Wand.;40142;40389;/0
Der Untergang des Hauses Usher;"Der alte Band, den ich zur Hand genommen hatte, war der ›Mad Trist‹ von Sir Launcelot Canning, aber ich hatte ihn mehr in traurigem Scherz als im Ernst Ushers Lieblingsbuch genannt;";35190;35371;/0
Der Fremde;"Das freundlichste Abendroth stand auf den Hügeln, als er nur noch ohngefähr eine Meile von seinem Wohnorte entfernt war;";7954;8074;/0
Der Untergang des Hauses Usher;So, so und nicht anders wird mich der Untergang ereilen!;14435;14491;/1
Der Fremde;er bildete sich ein, in der rothen Gluth schon die Spitzen der vaterstädtischen Thürme zu entdecken, als durch einen Stoß das Rad von der gebrochenen Axe ablief, und der Wagen im Felde stehen bleiben mußte.;8075;8281;/1
Der Untergang des Hauses Usher;sagte er unvermittelt, nachdem er einige Augenblicke schweigend um sich geblickt hatte.;33341;33428;/1
Der Untergang des Hauses Usher;ha!;41924;41927;/1
Der Untergang des Hauses Usher;ha!;41928;41931;/1
Der Untergang des Hauses Usher;"Der Verfasser sprach von einer heftigen körperlichen Erkrankung – von niederdrückender geistiger Zerrüttung – und von dem innigen Wunsch, mich, der ich sein bester und tatsächlich sein einziger persönlicher Freund sei, wiederzusehen;";3181;3414;/0
Der Fremde;Da er sehr lebhaft und geistreich war, verstand er die Kunst, auch das Uninteressanteste anziehend zu machen.;4145;4254;/0
Das Bettelweib von Locarno;"Aber wie erschüttert war er, als er in der Tat, mit dem Schlage der Geisterstunde, das unbegreifliche Geräusch wahrnahm;";2830;2950;/1
Der Untergang des Hauses Usher;Seine Anschauung bestand in der Hauptsache darin, daß er den Pflanzen ein Empfindungsvermögen, eine Beseeltheit zuschrieb.;23729;23851;/0
Der Fremde;"Seine Familie war eine von den angesehensten in der Provinzialstadt, in welcher Amalie wohnte;";3745;3839;/0
