Titel;Satz;Position1;Position2;Suspense
Am Kamin;sie hat sich ja gar nicht verheiratet.;24307;24345;/0
Am Kamin;Aber zwei andre Fragen treten bei dieser Geschichte, an deren Wahrheit ich keinen Grund zu zweifeln habe, wenigstens an mich noch näher heran.;31038;31180;/1
Am Kamin;er war überzeugt, daß kein Mensch dem Medizinalrate seinen heimlichen Besitz verraten haben konnte.;48442;48541;/1
Am Kamin;"Desto mehr gab es für uns zu tun; denn wodurch ließe sich ein tanzlustiges Offizierskorps wohl entmutigen.";38530;38636;/0
Tatsachen im Falle Waldemar;Als dies geschehen war, war es genau Mitternacht, und ich ersuchte die anwesenden Herren, den Zustand Herrn Waldemars zu prüfen.;9980;10108;/1
Tatsachen im Falle Waldemar;da mir das aber infolge mangelnder Energie vollständig mißlang, änderte ich meine Maßnahmen und bemühte mich ebenso eifrig, ihn zu erwecken.;20217;20357;/1
Am Kamin;es ist mir allerdings etwas eingefallen, das sich dem vorhin Erzählten anschließt, nur daß es noch um einen Schritt darüber hinausgeht.;37056;37191;/0
Am Kamin;Eine unumgängliche Reparatur war Veranlassung, daß wir auf den Saal des Kasinos verzichteten und uns nach einem andern Lokal umtun mußten.;37472;37610;/0
Am Kamin; ich trabte auf allen vieren, während der Junge schreiend vor mir herlief.‹;2572;2647;/1
Am Kamin;Die Herren wollten dieselbe zwar nur als ein Beruhigungsmittel gelten lassen, wie solches dem Kranken wohl ohne weitere Absicht gegeben wird, indessen schließlich mußten sie mir dennoch versprechen, von weiterem Verfahren abzustehen und die herausgenommenen Teile in den Körper zurückzulegen.;45531;45823;/0
Am Kamin;"Als ich an dem Hause des Justizrats Z. vorüberfuhr, sah ich mit Verwunderung, daß die beiden Wohnzimmer desselben hell erleuchtet waren;";44496;44632;/1
Eine Spukgeschichte;Ich hab' es erlebt, daß sie in weniger als zehn Minuten stickte – las – zeichnete – sang – tanzte – daß sie in einem Moment weinte um den armen Cousin, der in der Schlacht geblieben und, die bittern Tränen noch in den Augen, in ein hell aufquiekendes Gelächter ausbrach, als die Französin unversehens ihre Tabaksdose über den kleinen Mops ausschüttete, der sofort entsetzlich zu niesen begann, worauf die Alte lamentierte:;779;1201;/0
Am Kamin;Mein Barbier – von dem hab ich diese Geschichte – ist der Sohn eines Tuchmachers.;7767;7848;/0
Am Kamin;Nun, so höre!;7751;7764;/0
Eine Spukgeschichte;›Ah che fatalità! ;1202;1220;/0
Am Kamin;Seien Sie nicht so grob, alter Herr!;36845;36881;/0
Am Kamin;Kurz ehe dieser erfolgte, mußte ich in Veranlassung einer amtlichen Kommission die Stadt verlassen, nachdem ich die Sorge für diesen wie für meine andern Kranken dem Professor X. übertragen hatte.;44210;44406;/0
Am Kamin;Nur so viel mag ich sagen, daß meine vorhin geäußerten Ansichten dadurch im wesentlichen berichtigt werden dürften.;47031;47146;/1
Tatsachen im Falle Waldemar;Am Nachmittag gingen wir alle wieder hin, um den Patienten zu sehen.;17640;17708;/0
Am Kamin;Von ihren mancherlei Geschichten ist mir indessen – verzeih, Klärchen! – nur ein Traum im Gedächtnis geblieben!;24534;24645;/0
Am Kamin;noch heute, diese Nacht noch!;48379;48408;/1
Tatsachen im Falle Waldemar;Diese Erscheinungen im rechten Lungenflügel waren verhältnismäßig neueren Datums.;5518;5599;/0
Tatsachen im Falle Waldemar;"Ich befühlte seine Gliedmaßen;";11897;11927;/1
Tatsachen im Falle Waldemar;Herr L...l, der Student, wurde ohnmächtig.;16214;16256;/1
Tatsachen im Falle Waldemar;Nach kurzer Untersuchung erklärten sie, daß er sich in ungemein tiefer Trance befinde.;10109;10195;/1
Am Kamin;er war schon eröffnet, die Intestina zum Teil herausgenommen, die Sektion in vollem Gange.;45238;45328;/1
Tatsachen im Falle Waldemar;Nach Ablauf dieser Zeit tönte zwischen den weitgeöffneten und regungslosen Kinnladen eine Stimme hervor – es wäre Wahnsinn, sie beschreiben zu wollen.;14657;14807;/1
Am Kamin;ermüdet von der Reise, voll Schmerz um den Tod des Freundes und belastet mit einer unheimlichen Trauer, daß ich ihm das gegebene Wort nun dennoch nicht hatte halten können.;45875;46047;/0
Tatsachen im Falle Waldemar;"die Arme lagen ebenfalls fast gestreckt;";9895;9935;/1
Tatsachen im Falle Waldemar;Ich sage Ihnen, ich bin tot.;20036;20064;/1
Am Kamin;Nein, bleibt nur ruhig sitzen!;41600;41630;/0
Am Kamin;Was denn, Frau?;22997;23012;/0
Tatsachen im Falle Waldemar;Der glasige Ausdruck des rollenden Auges verwandelte sich in den Ausdruck nach innen gekehrten Sinnens und Suchens, wie er nur bei Somnambulen zu finden ist.;9334;9491;/1
Am Kamin;Er ging, als die Stadt erreicht war, nicht durch die Straßen, sondern an der Stadtmauer entlang, um durch den Garten in das Hinterhaus zu gelangen, wozu er den Schlüssel von seinem Meister erhalten hatte.;12575;12779;/0
Am Kamin;Jene Äußerung meiner Freundin aber dürfte wohl nur von einer übermäßigen Jungfräulichkeit herrühren, wie sie durch ein zu langes Verweilen im ledigen Stande mitunter hervorgetrieben wird.;23844;24031;/0
Am Kamin;Ich hatte kaum geendet, als sie die Hände über dem Kopf zusammenschlug und in ihrer plattdeutschen Mundart ausrief:;30604;30719;/1
Am Kamin;Trinken Sie lieber einmal! ;3540;3567;/0
Am Kamin;Es war heller Mondschein.;12780;12805;/1
Am Kamin;Der Pächter des Hauses hatte eben eine Quantität Korn gekauft, welche in den nächsten Tagen auf dem Saal gelagert werden sollte, da die Böden so gut wie besetzt waren.;38688;38855;/0
Am Kamin;Der Wirt schüttelte den Kopf.;8265;8294;/0
Eine Spukgeschichte;»Allerdings,« sprach Theodor, »und ich teile mit dir, Ottmar, das lebhafte Gefühl, daß gerade in der Einfachheit der Geschichte ihre tiefsten Schauer liegen.;14476;14633;/0
Am Kamin;"So mag es denn die letzte sein;";20690;20721;/0
Tatsachen im Falle Waldemar;Ja – schlafe jetzt.;11823;11842;/1
Am Kamin;Da plötzlich erweckte ihn wieder jener schon halbvergessene Ton. ;11463;11528;/1
Am Kamin;Das ist entsetzlich!;46665;46685;/1
Am Kamin;›Hu!;2650;2654;/1
Tatsachen im Falle Waldemar;Auf der Suche nach einer Persönlichkeit, mit Hilfe deren ich diese Fragen lösen könnte, fiel mir mein Freund, Herr Ernst Waldemar ein, der bekannte Bibliothekar der ›Bibliotheca Forensica‹ und (unter dem Pseudonym Issachar Marx) Verfasser der polnischen Übersetzungen des ›Wallenstein‹ und des ›Gargantua‹.;1482;1788;/0
Eine Spukgeschichte;Nicht so rasch,« nahm Ottmar das Wort, »nicht so rasch, lieber Lothar!;12763;12833;/0
Am Kamin;"»Sieh zu, wer da ist!« sagte meine Mutter;";29266;29308;/0
Am Kamin;Auf ihren Wunsch besuchte ich sie noch einmal, ehe ich abreiste.;17463;17527;/0
Am Kamin;Es war eigentlich eine Range, der Junge, in einer Abendgesellschaft bei seinen Eltern hatte er uns einmal alle Sardellen von den Butterbröten weggefressen. ;2136;2292;/0
Eine Spukgeschichte;Man bringt Adelgunde hinein.;5739;5767;/1
Tatsachen im Falle Waldemar;bringen Sie mich wieder in Schlaf ;19954;19988;/1
Eine Spukgeschichte;Alle fahren auf, vom Schrecken erfaßt, aber als niemand auch nur das mindeste gewahrt, ruft der Obrist:;9697;9800;/1
Tatsachen im Falle Waldemar;Herr Waldemar, der hauptsächlich in Harlem gelebt hatte und sich seit 1839 in New York aufhielt, war besonders auffallend durch seine unerhörte Magerkeit und durch die weiße Farbe seines Backenbartes, der mit dem schwarzen Haupthaar seltsam kontrastierte, so daß man oft glauben mochte, er trage eine Perücke.;1789;2098;/0
Am Kamin;er wußte nur, daß er durch ein Geräusch, das mit ihm in der Kammer war, auf eine jähe Art erweckt worden sei.;9896;10005;/1
Am Kamin;"Wir ließen uns auch das nicht anfechten;";38856;38896;/0
Am Kamin;›Eine schlimme Stelle?;6054;6076;/1
Tatsachen im Falle Waldemar;Wie vordem vergingen einige Minuten, ehe eine Antwort erfolgte, und während dieser Zeit schien der Sterbende seine Energie zu sammeln.;12611;12745;/1
Am Kamin;Ich sehe noch die Bestürzung, die sich während meiner Erzählung in ihrem Gesicht ausdrückte.;30511;30603;/1
Am Kamin;Machen Sie nicht solche Augen, alter Herr!;477;519;/0
Am Kamin;Gleichwohl war es immer eine Art Fest für mich, wenn ich, wie dies wohl bei einer Bestellung für meine Eltern geschah, einige Minuten in ihrem hohen, mit altmodischen Seltsamkeiten angefüllten Zimmer verweilen durfte.;25964;26181;/0
Tatsachen im Falle Waldemar;Mehrere umfangreiche Durchbrüche waren vorhanden, und einige Rippen waren ebenfalls von Eiterung ergriffen.;5410;5517;/0
Am Kamin;Als ich vor einigen Jahren, es war um Ostern, in B. in Garnison stand – so erzählte mir der Hauptmann von K. –, wollten die dortigen Offiziere einer schönen Fremden einen Abschiedsball geben, mit der wir den Winter über viel und gern getanzt hatten.;37222;37471;/0
Am Kamin;Meine Damen, ich muß dringend bitten.;1116;1153;/0
Am Kamin;"Und geht es noch so rüstig
Hin über Stein und Steg,
Es ist eine Stelle im Wege,
Du kommst darüber nicht weg.";7346;7454;/0
Eine Spukgeschichte;Ihr wißt, daß ich mich vor einiger Zeit, und zwar kurz vor dem letzten Feldzuge, auf dem Gute des Obristen von P. befand.;1;122;/0
Am Kamin;»Mich friert, ach, wie mich friert!« sagte sie, und ich hörte deutlich, wie ihre Zähne aufeinanderschlugen.;29676;29783;/1
Tatsachen im Falle Waldemar;Als er wieder zu sich gekommen war, befaßten wir uns von neuem mit der Untersuchung von Herrn Waldemars Zustand.;16545;16657;/1
Am Kamin;Nun, und weiter, alter Herr?;2779;2807;/0
Am Kamin;Während er noch mit dem Arm die Tür zurückdrängt, scheint auch er mich gewahr zu werden, denn die Tür fällt wieder zu, und ich sehe nichts mehr.;34003;34147;/1
Am Kamin;"Ich dächte doch, das wäre eine echte rechte Spukgeschichte; oder was fehlt denn noch daran?";13514;13605;/0
Am Kamin;Auf dem Gymnasium zu H. hatte ich einen Schulkameraden, einen fleißigen und geschickten Menschen, mit welchem ich, da er in meiner Nachbarschaft wohnte, in fast täglichem Verkehr lebte.;14128;14313;/0
Am Kamin;»De Hel« nennen es die Leute, ohne zu ahnen, daß es das Roß ihrer alten Todesgöttin ist, welche selbst zugunsten des Klapperbeins seit lange den Dienst hat quittieren müssen.;4674;4848;/1
Am Kamin;Nachdem alles durchgesprochen war, was etwa zur Aufklärung der Sache dienen mochte, sagte Herr B..r:;32166;32266;/0
Am Kamin;"Ich verließ sie dann und fuhr nach meiner Wohnung;";45824;45874;/0
Tatsachen im Falle Waldemar;"D. und F. haben festgestellt, daß ich nicht lange mehr mitmache – nur noch bis morgen mitternacht;";3871;3969;/1
Eine Spukgeschichte;Der Obriste war ein muntrer, jovialer Mann, so wie seine Gemahlin die Ruhe, die Unbefangenheit selbst.;123;225;/0
Am Kamin;Einige Tage darauf erhielt ich von einem andern Kameraden die Nachricht, daß an jenem Vormittage der mit Getreide überlastete Boden oberhalb des Saales eingestürzt sei.;40795;40963;/1
Am Kamin;ich brauchte nichts weitet zu erfahren, ich wußte alles, was geschehen war.;45068;45143;/1
Am Kamin;"Nichts weiter; damit ist die Geschichte aus.";2810;2854;/0
Tatsachen im Falle Waldemar;Die Doktoren D. und F. waren an wesend.;4964;5003;/0
Tatsachen im Falle Waldemar;Er saß von Kissen gestützt, aufrecht im Bett.;4918;4963;/0
Am Kamin;Als hierauf der Herr des Hauses, einer seiner ältesten Freunde, ihn sanft bei der Hand ergriff, richtete er sich langsam auf und blickte in der Gesellschaft umher, als wolle er gewiß werden, wo er sich befinde.;46687;46897;/1
Tatsachen im Falle Waldemar;die Atmungsintervalle blieben dieselben.;9143;9183;/1
Tatsachen im Falle Waldemar;Seit damals bis Ende letzter Woche – eine Zeitdauer von fast sieben Monaten – fuhren wir fort, täglich bei Herrn Waldemar nachzusehen, manchmal auch in Begleitung von Medizinern oder anderen Freunden.;18241;18441;/0
Eine Spukgeschichte;seht ihr's?;9637;9648;/1
Am Kamin;Während ihre magere Hand die meinige ergriff, sagte sie nur: »So leben Sie denn recht wohl!«;17703;17795;/1
Am Kamin;In dem faltenreichen alten Gesicht war der Ausdruck der höchsten Spannung, ja der Bestürzung nicht zu verkennen.;46483;46595;/1
Am Kamin;"Nicht allein, daß allezeit ein Storch auf dem Kirchturm steht, wenn ein Ratsherr sterben soll;";4415;4509;/1
Tatsachen im Falle Waldemar;Nachdem er ihm den Puls gefühlt und einen Spiegel an die Lippen gehalten hatte, ersuchte er mich, den Schlafwachenden nochmals anzureden.;12398;12535;/0
Am Kamin;Sie erinnern sich noch des Justizrats, Herr Professor, und der von Ihnen geleiteten Sektion seiner Leiche?;47474;47580;/1
Am Kamin;"Sie mochte dann schon ruhig in dem oberen Zimmer schlummern; denn es lag nach einem inneren Hofe, wo die nächtliche Ruhe durch nichts gestört wurde.";17030;17178;/0
Eine Spukgeschichte;Nun wurde die arme Adelgunde für wahnsinnig gehalten, und die Familie schämte sich in seltsamer Verkehrtheit dieses Zustandes der Tochter, der Schwester.;6883;7036;/0
Eine Spukgeschichte;Der unselige Rat wurde ausgeführt! ;8650;8685;/0
Am Kamin;und wenn sie nur irgend Feierabend machen konnte, schloß sie die verhaßte Arbeit in die Kommodenschublade und nahm statt dessen eins ihrer geliebten Bücher zur Hand, oder sie griff auch wohl selbst zur Feder und brachte eine kleine Geschichte oder irgendeinen sinnigen Gedanken zu Papier.;22335;22623;/0
Tatsachen im Falle Waldemar;Zwei- oder dreimal war es mir ohne Schwierigkeit gelungen, ihn in Schlaf zu versetzen, doch andere Erwartungen, die seine sonderbare Konstitution in mir erweckt hatte, erfüllten sich nicht.;2184;2373;/0
Am Kamin;"Der Teetisch tut es auch für heute; lassen Sie nur den Kessel sausen, ich meinerseits bin mit dem Akkompagnement zufrieden.";21045;21168;/0
Tatsachen im Falle Waldemar;Während der letzten drei Jahre war mein Interesse mehrfach auf den Mesmerismus hingelenkt worden, und vor neun Monaten etwa fiel es mir ganz plötzlich auf, daß die Reihe der bisher gemachten Experimente eine sehr auffallende und unverantwortliche Lücke aufwies:;700;961;/0
Am Kamin;niemand mehr als unser junger kaufmännischer Freund. ;5547;5600;/0
Am Kamin;Von dem entsetzlichsten Grauen befallen, springe ich zurück und krieche längs der Wand unter den großen Tisch, welcher in der Ecke am Fenster stand.;29453;29601;/1
Eine Spukgeschichte;Es kommt viel Mystisches darin vor, an psychischen Wundern und seltsamen Hypothesen ist auch gar kein Mangel, und doch lenkt es hübsch ein ins gewöhnliche Leben.;16491;16652;/0
