id,Titel,Satz,Suspense,Fragesatz,Satzlänge
0,Das Bettelweib von Locarno,"Am Fuße der Alpen, bei Locarno im oberen Italien, befand sich ein altes, einem Marchese gehöriges Schloß, das man jetzt, wenn man vom St. Gotthard kommt, in Schutt und Trümmern liegen sieht:",0,0,32
1,Das Bettelweib von Locarno,"ein Schloß mit hohen und weitläufigen Zimmern, in deren einem einst, auf Stroh, das man ihr unterschüttete, eine alte kranke Frau, die sich bettelnd vor der Tür eingefunden hatte, von der Hausfrau aus Mitleiden gebettet worden war.",0,0,37
2,Das Bettelweib von Locarno,"Der Marchese, der, bei der Rückkehr von der Jagd, zufällig in das Zimmer trat, wo er seine Büchse abzusetzen pflegte, befahl der Frau unwillig, aus dem Winkel, in welchem sie lag, aufzustehen, und sich hinter den Ofen zu verfügen.",0,0,39
3,Das Bettelweib von Locarno,"Die Frau, da sie sich erhob, glitschte mit der Krücke auf dem glatten Boden aus, und beschädigte sich, auf eine gefährliche Weise, das Kreuz;",1,0,24
4,Das Bettelweib von Locarno,"dergestalt, daß sie zwar noch mit unsäglicher Mühe aufstand und quer, wie es vorgeschrieben war, über das Zimmer ging, hinter den Ofen aber, unter Stöhnen und Ächzen, niedersank und verschied.",1,0,30
5,Das Bettelweib von Locarno,"Mehrere Jahre nachher, da der Marchese, durch Krieg und Mißwachs, in bedenkliche Vermögensumstände geraten war, fand sich ein florentinischer Ritter bei ihm ein, der das Schloß, seiner schönen Lage wegen, von ihm kaufen wollte.",0,0,34
6,Das Bettelweib von Locarno,"Der Marchese, dem viel an dem Handel gelegen war, gab seiner Frau auf, den Fremden in dem obenerwähnten, leerstehenden Zimmer, das sehr schön und prächtig eingerichtet war, unterzubringen.",0,0,28
7,Das Bettelweib von Locarno,"Aber wie betreten war das Ehepaar, als der Ritter mitten in der Nacht, verstört und bleich, zu ihnen herunterkam, hoch und teuer versichernd, daß es in dem Zimmer spuke, indem etwas, das dem Blick unsichtbar gewesen, mit einem Geräusch, als ob es auf Stroh gelegen, im Zimmerwinkel aufgestanden, mit vernehmlichen Schritten, langsam und gebrechlich, quer über das Zimmer gegangen, und hinter dem Ofen, unter Stöhnen und Ächzen, niedergesunken sei.",1,0,69
8,Das Bettelweib von Locarno,"Der Marchese erschrocken, er wußte selbst nicht recht warum, lachte den Ritter mit erkünstelter Heiterkeit aus, und sagte, er wolle sogleich aufstehen, und die Nacht zu seiner Beruhigung, mit ihm in dem Zimmer zubringen.",0,0,34
9,Das Bettelweib von Locarno,"Doch der Ritter bat um die Gefälligkeit, ihm zu erlauben, daß er auf einem Lehnstuhl, in seinem Schlafzimmer übernachte, und als der Morgen kam, ließ er anspannen, empfahl sich und reiste ab.",0,0,32
10,Das Bettelweib von Locarno,"Dieser Vorfall, der außerordentliches Aufsehen machte, schreckte auf eine dem Marchese höchst unangenehme Weise, mehrere Käufer ab;",0,0,17
11,Das Bettelweib von Locarno," dergestalt, daß, da sich unter seinem eigenen Hausgesinde, befremdend und unbegreiflich, das Gerücht erhob, daß es in dem Zimmer, zur Mitternachtsstunde, umgehe, er, um es mit einem entscheidenden Verfahren niederzuschlagen, beschloß, die Sache in der nächsten Nacht selbst zu untersuchen.",1,0,40
12,Das Bettelweib von Locarno,"Demnach ließ er, beim Einbruch der Dämmerung, sein Bett in dem besagten Zimmer aufschlagen, und erharrte, ohne zu schlafen, die Mitternacht.",1,0,21
13,Das Bettelweib von Locarno,"Aber wie erschüttert war er, als er in der Tat, mit dem Schlage der Geisterstunde, das unbegreifliche Geräusch wahrnahm;",1,0,19
14,Das Bettelweib von Locarno,"es war, als ob ein Mensch sich von Stroh, das unter ihm knisterte, erhob, quer über das Zimmer ging, und hinter dem Ofen, unter Geseufz und Geröchel niedersank.",1,0,28
15,Das Bettelweib von Locarno,"Die Marquise, am andern Morgen, da er herunterkam, fragte ihn, wie die Untersuchung abgelaufen;",0,0,14
16,Das Bettelweib von Locarno,"und da er sich, mit scheuen und ungewissen Blicken, umsah, und, nachdem er die Tür verriegelt, versicherte, daß es mit dem Spuk seine Richtigkeit habe:",1,0,25
17,Das Bettelweib von Locarno,"so erschrak sie, wie sie in ihrem Leben nicht getan, und bat ihn, bevor er die Sache verlauten ließe, sie noch einmal, in ihrer Gesellschaft, einer kaltblütigen Prüfung zu unterwerfen.",1,0,30
