id,Titel,Satz,Suspense,Fragesatz,Satzlänge
0,Am Kamin,Ich werde Gespenstergeschichten erzählen!,0,0,4
1,Am Kamin,"Ja, da klatschen die jungen Damen schon alle in die Hände.",0,0,11
2,Am Kamin,"Wie kommen Sie denn zu Gespenstergeschichten, alter Herr?",0,1,8
3,Am Kamin,Ich?,0,1,1
4,Am Kamin,das liegt in der Luft,0,0,5
5,Am Kamin,"Hören Sie nur, wie draußen der Oktoberwind in den Tannen fegt! ",0,0,11
6,Am Kamin,Und dann hier drinnen dies helle Kienäpfelfeuerchen!,0,0,7
7,Am Kamin,"Aber ich dächte, die Spukgeschichten gehörten gänzlich zum Rüstzeug der Reaktion?",0,1,11
8,Am Kamin,"Nun, gnädige Frau, unter Ihrem Vorsitz wollen wir es immer darauf wagen.",0,0,12
9,Am Kamin,"Machen Sie nicht solche Augen, alter Herr!",0,0,7
10,Am Kamin,Ich mache gar keine Augen.,0,0,5
11,Am Kamin,Aber wir wollen Stühle um den Kamin setzen.,0,0,8
12,Am Kamin,So!,0,0,1
13,Am Kamin,die Chaiselongue kann stehenbleiben.,0,0,4
14,Am Kamin,"Nein, Klärchen, nicht die Lichter ausputzen! ",0,0,6
15,Am Kamin,"Da merkt man Absicht, und... et cetera.",0,0,7
16,Am Kamin,So fang denn endlich einmal an!,0,0,6
17,Am Kamin,In meiner Vaterstadt...,0,0,3
18,Am Kamin,Wart noch; ich will mich vor dem Kamin auf den Teppich legen und Kienäpfel zuwerfen.,0,0,15
19,Am Kamin,Tu das! ,0,0,2
20,Am Kamin,"Also, ein Arzt in meiner Vaterstadt hatte einen vierjährigen Knaben, welcher Peter hieß.",0,0,13
21,Am Kamin,Das fängt sehr trocken an!,0,0,5
22,Am Kamin,"Klärchen, paß auf deine Kienäpfel!",0,0,5
23,Am Kamin,Dem kleinen Peter träumte eines Nachts – –,1,0,8
24,Am Kamin,Ach – – Träumen!,0,0,4
25,Am Kamin,Was Träumen?,1,1,2
26,Am Kamin,"Meine Damen, ich muß dringend bitten.",0,0,6
27,Am Kamin,Soll ich an einer zurückgetretenen Spukgeschichte ersticken?,0,1,7
28,Am Kamin,Das ist keine Spukgeschichte;,0,0,4
29,Am Kamin,Träumen ist nicht Spuken.,0,0,4
30,Am Kamin,"Halt den Mund, liebes Klärchen!",0,0,5
31,Am Kamin,Wo war ich denn?,0,1,4
32,Am Kamin,Du warst noch nicht weit.,0,0,5
33,Am Kamin,Sßt! ,0,0,1
34,Am Kamin,"Der Vater erwachte eines Nachts-still, Klärchen! von dem ängstlichen Geschrei des Jungen, welcher neben seinem Bette schlief.",1,0,17
35,Am Kamin,"Er nahm ihn zu sich und suchte ihn zu ermuntern, aber das Kind war gar nicht zu beruhigen.",1,0,18
36,Am Kamin,"›Was fehlt dir, Junge?‹",1,1,4
37,Am Kamin,"›Es war ein großer Wolf da, er war hinter mir, er wollte mich fressen.‹ ",0,0,14
38,Am Kamin,"›Du träumst ja, mein Kind!‹",0,0,5
39,Am Kamin,"›Nein, nein, Papa, es war ein wirklicher Wolf; ",1,0,8
40,Am Kamin,seine rauhen Haare sind an mein Gesicht gekommen.‹ ,1,0,8
41,Am Kamin,r begrub den Kopf an seines Vaters Brust und wollte nicht wieder in sein Korbbettchen zurück.,0,0,16
42,Am Kamin,So schlief er endlich ein. ,0,0,5
43,Am Kamin,Draußen vom Turme hörte der Doktor nach einiger Zeit eins schlagen.,0,0,11
44,Am Kamin,"Im Hause des Arztes lebte eine ältliche Schwester desselben, welche den kleinen Peter ganz besonders in ihr Herz geschlossen hatte.",0,0,20
45,Am Kamin,"Es war eigentlich eine Range, der Junge, in einer Abendgesellschaft bei seinen Eltern hatte er uns einmal alle Sardellen von den Butterbröten weggefressen. ",0,0,23
46,Am Kamin,"Aber das tat der Liebe der Tante keinen Eintrag.
",0,0,9
47,Am Kamin,"Am andern Morgen, als der Doktor aus seinem Schlafzimmer trat, war sie die erste, die ihm begegnete.",0,0,17
48,Am Kamin,"›Denke dir, Karl, was mir geträumt hat!‹",1,0,7
49,Am Kamin,›Nun?‹,1,1,1
50,Am Kamin,›Ich hatte mich in einen Wolf verwandelt und wollte den kleinen Peter fressen;,1,0,13
51,Am Kamin," ich trabte auf allen vieren, während der Junge schreiend vor mir herlief.‹",1,0,12
52,Am Kamin,›Hu!,1,0,1
53,Am Kamin,"Weißt du nicht, wieviel Uhr es gewesen?‹ ",1,1,7
54,Am Kamin,›Es muß nach Mitternacht gewesen sein;,1,0,6
55,Am Kamin,genauer kann ich es nicht bestimmen,1,0,6
56,Am Kamin,"Nun, und weiter, alter Herr?",0,1,5
57,Am Kamin,Nichts weiter; damit ist die Geschichte aus.,0,0,7
58,Am Kamin,Pfui!,0,0,1
59,Am Kamin,Die Tante ist ein Werwolf gewesen!,0,0,6
60,Am Kamin,"Ich kann versichern, daß sie eine vortreffliche Dame war.",0,0,9
61,Am Kamin,"Aber, Klärchen, log einmal Kienäpfel auf!",0,0,6
62,Am Kamin,Ja – aber Träumen ist doch nicht Spuken –,0,0,9
63,Am Kamin,Ärgere den alten Herrn nicht!,0,0,5
64,Am Kamin,"Siehst du, ich weiß besser mit ihm umzugehen. ",0,0,8
65,Am Kamin,"Da erscheint der Trank, bei dem der selige Hoffmann seine Serapionsgeschichten erzählte.",0,0,12
66,Am Kamin,"Setzen Sie die Bowle vor den Kamin, Martin!",0,0,8
67,Am Kamin,"Es ist auch eine halbe Flasche Maraschino dazu, alter Herr!",0,0,10
68,Am Kamin,"Ich küsse Ihnen die Hand, gnädige Frau.",0,0,7
69,Am Kamin,Das verstehen Sie ja gar nicht!,0,0,6
70,Am Kamin,Ich kann das eigentlich nicht bestreiten.,0,0,6
71,Am Kamin,In meiner Heimat tut man nicht dergleichen;,0,0,7
72,Am Kamin,"indessen, ich beginne wenigstens schon davon zu reden.",0,0,8
73,Am Kamin,Trinken Sie lieber einmal! ,0,0,4
74,Am Kamin,"Klärchen, damit du was zu tun hast, schenk einmal die Gläser voll!",0,0,12
75,Am Kamin,"Ich weiß nicht, meine Damen, ob Sie jemals durch die Marsch gefahren sind!",0,0,13
76,Am Kamin,Im Herbst und bei Regenwetter will ich es Ihnen nicht gewünscht haben;,0,0,12
77,Am Kamin,"in trockner Sommerzeit aber kann es keinen besseren Weg geben, der feine graue Ton, aus welchem der Boden besteht, ist dann fest und eben, und der Wagen geht sanft und leicht darüber hin.",0,0,33
78,Am Kamin,"Vor einigen Jahren führten mich Geschäfte nach der kleinen Stadt T. im nördlichen Schleswig, welche mitten in der nach ihr benannten Marsch liegt.",0,0,23
79,Am Kamin,Am Abend war ich in der Familie des dortigen Landschreibers.,0,0,10
80,Am Kamin,"Nach dem Essen, als die Zigarren angezündet waren, gerieten wir unversehens in die Spukgeschichten, was dort eben nicht schwer ist;",0,0,20
81,Am Kamin,denn die alte Stadt ist ein wahres Gespensternest und noch voll von Heidenglauben.,1,0,13
82,Am Kamin,"Nicht allein, daß allezeit ein Storch auf dem Kirchturm steht, wenn ein Ratsherr sterben soll;",1,0,15
83,Am Kamin,"es geht auch nachts ein altes glasäugiges dreibeiniges Pferd durch die Straßen, und wo es stehenbleibt und in die Fenster guckt, wird bald ein Sarg herausgetragen. ",1,0,26
84,Am Kamin,"»De Hel« nennen es die Leute, ohne zu ahnen, daß es das Roß ihrer alten Todesgöttin ist, welche selbst zugunsten des Klapperbeins seit lange den Dienst hat quittieren müssen.",1,0,29
85,Am Kamin,Von den mancherlei derartigen Gesprächen und Erzählungen jenes Abends ist mir indessen nur eine einfache Geschichte im Gedächtnis geblieben.,1,0,19
86,Am Kamin,"»Es war vor etwa zehn Jahren« – so erzählte unser Wirt –, »als ich mit einem jungen Kaufmann und einigen anderen Bekannten eine Lustfahrt nach einem Hofe machte, welcher dem Vater des ersteren gehörte und durch einen sogenannten Hofmann verwaltet wurde. ",0,0,41
87,Am Kamin,Es war das schönste Sommerwetter;,0,0,5
88,Am Kamin,"das Gras auf den Fennen funkelte nur so in der Sonne, und die Stare mit ihrem lustigen Geschrei flogen in ganzen Scharen zwischen dem weidenden Vieh umher.",0,0,27
89,Am Kamin,"Die Gesellschaft im Wagen, der sanft über den ebenen Marschweg dahinrollte, befand sich in der heitersten Laune;",0,0,17
90,Am Kamin,niemand mehr als unser junger kaufmännischer Freund. ,0,0,7
91,Am Kamin,"Plötzlich aber, als wir eben an einem blühenden Rapsfelde vorüberfuhren, verstummte er mitten im lebhaftesten Gespräch, und seine Augen nahmen einen so seltsamen glasigen Ausdruck an, wie ich ihn nie zuvor an einem lebenden Menschen gesehen hatte.",1,0,37
92,Am Kamin,"Ich, der ich ihm gegenübersaß, ergriff seinen Arm und schüttelte ihn.",1,0,11
93,Am Kamin,"›Fritz, Fritz, was fehlt dir?‹ fragte ich.",1,1,7
94,Am Kamin,Er atmete tief auf;,1,0,4
95,Am Kamin,"dann sagte er, ohne mich anzusehen: ",1,0,6
96,Am Kamin,›Das war mal eine schlimme Stelle!‹,1,0,6
97,Am Kamin,›Eine schlimme Stelle?,1,1,3
98,Am Kamin,Es geht ja wie auf der Diele!‹,1,0,7
99,Am Kamin,"›Ja‹, entgegnete er, noch immer wie im Traum, ›es war doch nicht gut darüber wegzukommen.‹",1,0,15
100,Am Kamin,"Allmählich ermunterte er sich, und sein Gesicht erhielt wieder Leben und Ausdruck;",0,0,12
101,Am Kamin,aber er wußte auf unsre Fragen keine andre Antwort zu geben.,0,0,11
102,Am Kamin,"Dieses kleine Ereignis, was allerdings für den Augenblick die Stimmung etwas herabdrückte, war indessen, nachdem wir den Hof erreicht hatten, durch die Heiterkeit der Umgebung und unsre eigne Jugend bald vergessen.",0,0,31
103,Am Kamin,"Wir ließen uns durch die alte Wirtschafterin den Kaffee in der Gartenlaube anrichten, wir gingen auf die Fennen, um die Ochsen zu besehen, und nachdem abends die mitgebrachten Flaschen in Gesellschaft des alten Hofmannes geleert waren, fuhren wir alle vergnügt, wie wir ausgefahren waren, wieder heim.",0,0,46
104,Am Kamin,Acht Tage später war unser Freund des Nachmittags im Auftrage seines Vaters nach dem Hofe hinausgeritten.,0,0,16
105,Am Kamin,Am Abend kam sein Pferd allein zurück.,1,0,7
106,Am Kamin,"Der alte Herr, der eben aus seinem L'hombre-Klub nach Hause gekommen war, machte sich sogleich mit allen seinen Leuten auf, um nach seinem einzigen Sohn zu suchen.",1,0,27
107,Am Kamin,"Als sie mit ihren Handlaternen an jenes blühende Rapsfeld kamen, fanden sie ihn tot am Wege liegen.",1,0,17
108,Am Kamin,"Was die Ursache seines Todes gewesen, vermag ich nicht mehr anzugeben.",1,0,11
109,Am Kamin,"Und geht es noch so rüstig
Hin über Stein und Steg,
Es ist eine Stelle im Wege,
Du kommst darüber nicht weg.",0,0,22
110,Am Kamin,Aha!,0,0,1
111,Am Kamin,Unser poetischer Freund improvisiert.,0,0,4
112,Am Kamin,"Das nicht, Herr Assessor;",0,0,4
113,Am Kamin,der Vers ist schon gedruckt.,0,0,5
114,Am Kamin,Aber Klärchen scheint wieder mit meiner Geschichte nicht zufrieden zu sein;,0,0,11
115,Am Kamin,sie rührt mir gar zu ungeduldig in der Bowle.,0,0,9
116,Am Kamin,Ich?,0,1,1
117,Am Kamin,Da hast du ein Glas Punsch! ,0,0,6
118,Am Kamin,Ich sage schon gar nichts mehr.,0,0,6
119,Am Kamin,"Nun, so höre!",0,0,3
120,Am Kamin,Mein Barbier – von dem hab ich diese Geschichte – ist der Sohn eines Tuchmachers.,0,0,15
121,Am Kamin,"Als der Vater noch jung war, kam er eines Abends auf seiner Gesellenwanderung in eine kleine schlesische Stadt.",0,0,18
122,Am Kamin,"Auf der Herberge erfuhr er, daß er bei einem der ältesten Meister in Arbeit treten könne.",0,0,16
123,Am Kamin,"»Will nur hoffen, daß es mit dir Bestand haben wird«, setzte der Herbergswirt hinzu.",0,0,14
124,Am Kamin,"»Mit Gunst, Herr Vater«, entgegnete der Gesell, »traut Ihr mir nicht, oder fehlt's da wo im Hause bei den Meistersleuten?«",0,1,20
125,Am Kamin,Der Wirt schüttelte den Kopf.,0,0,5
126,Am Kamin,"»Was denn aber, Herr Vater?«",0,1,5
127,Am Kamin,"Es ist nur«, sagte der Alte, »seit die da drei Gesellen haben wollen, ist der dritte nach Monatsfrist allzeit wieder fremd geworden.«",0,0,22
128,Am Kamin,"Unser Geselle ließ sich das nicht anfechten, sondern ging noch an demselben Abend zu seinem neuen Meister.",0,0,17
129,Am Kamin,"Er fand ein paar alte Leute, die ihn freundlich ansprachen, und zur Stärkung nach der Wanderung ein solides bürgerliches Abendbrot.",0,0,20
130,Am Kamin,"Als es Schlafenszeit war, führte der Meister ihn selbst durch einen langen Gang des Hintergebäudes in das obere Stockwerk und wies ihm dort seine Schlafkammer an.",0,0,26
131,Am Kamin,Der Gelaß für die beiden andern Gesellen befinde sich unten; es sei aber darin nicht Platz für ein drittes Bett.,0,0,20
132,Am Kamin,"Als der Meister ihm gute Nacht gewünscht, stand der junge Mann noch einen Augenblick und horchte, wie sich die Schritte des Alten über die Treppe hinab entfernten und dann unten in dem langen Gange allmählich verloren.",0,0,36
133,Am Kamin,Hierauf besah er sich sein neues Quartier.,0,0,7
134,Am Kamin,"Es war eine lange, äußerst schmale Kammer mit kahlen weißen Wänden; unten, die ganze Breite der Querwand einnehmend, stand das Bett; da neben ein kleiner Tisch und ein kleiner Stuhl aus Föhrenholz; das war die ganze Ausstattung.",0,0,37
135,Am Kamin,"Das einzige, sehr hohe Fenster mit kleinen, in Blei gefaßten Scheiben schien, soviel er bei dem Mondschein draußen erkennen konnte, nach einem großen Garten hinaus zu liegen.",0,0,27
136,Am Kamin,"Aber er hatte das alles mit schon träumenden Augen angesehen, und nachdem er sich unter das derbe Deckbett gestreckt und das Licht ausgelöscht hatte, fiel er bald in einen tiefen Schlaf.",0,0,31
137,Am Kamin,"Wie lange derselbe gedauert, konnte er später nicht angeben;",0,0,9
138,Am Kamin,"er wußte nur, daß er durch ein Geräusch, das mit ihm in der Kammer war, auf eine jähe Art erweckt worden sei.",1,0,22
139,Am Kamin,"Und bald hörte er deutlich ein Kehren wie mit einem scharfen Reisbesen, das von der Richtung des Fensters her allmählich sich nach der Tiefe der Kammer zu bewegte.",1,0,28
140,Am Kamin,Er richtete sich auf und blickte mit aufgerissenen Augen vor sich hin;,1,0,12
141,Am Kamin,die Kammer war fast hell vom Mondschein;,1,0,7
142,Am Kamin,die eine Wand war ganz davon beleuchtet;,1,0,7
143,Am Kamin,aber er vermochte nichts zu sehen als den völlig leeren Raum.,1,0,11
144,Am Kamin,"Plötzlich, und ehe es noch ganz in seine Nähe gekommen, war alles wieder still.",1,0,14
145,Am Kamin,Er horchte noch eine Weile und suchte sich vergebens einen Vers darauf zu machen;,1,0,14
146,Am Kamin,"endlich, ermüdet wie er war, fiel er aufs neue in einen festen Schlaf.",0,0,13
147,Am Kamin,"Am andern Morgen, als zwischen ihm und dem Meister die Sache zur Sprache kam, erfuhr er von diesem, daß allerdings einzelne, welche vor ihm in der Kammer geschlafen, ein Ähnliches dort gehört haben wollten;",1,0,34
148,Am Kamin,es sei indes immer nur zur Zeit des Vollmonds gewesen und übrigens niemandem etwas dadurch zu nahe geschehen. ,0,0,18
149,Am Kamin,Der junge Tuchmacher ließ sich beruhigen;,0,0,6
150,Am Kamin,"und in den Nächten, die nun folgten, wurde auch sein Schlaf durch nichts gestört.",0,0,14
151,Am Kamin,Dabei ging ihm im Hause alles nach Wunsch;,0,0,8
152,Am Kamin,"Arbeit und Verdienst war regulär, und auch mit seinen beiden Nebengesellen hatte er sich auf guten Fuß gestellt.",0,0,18
153,Am Kamin,"So ging ein Tag nach dem andern hin, bis endlich wieder die Zeit des Vollmonds herangekommen war.",1,0,17
154,Am Kamin,"Aber er hatte nicht darauf geachtet, denn es war schwere, bedeckte Luft, und kein Schein fiel in die Kammer, als er sich am Abend schlafen legte.",1,0,26
155,Am Kamin,Da plötzlich erweckte ihn wieder jener schon halbvergessene Ton. ,1,0,9
156,Am Kamin,"Eifriger noch und schärfer, so dünkte es ihn, als das erstemal kehrte und fegte es bei ihm in der Kammer, und seltsamerweise, jetzt, wo es fast dunkel war, meinte er gegen das Fenster hin einen sich bewegenden Schatten zu sehen.",1,0,40
157,Am Kamin,"Aber, wie zuerst, wurde auch jetzt nach einer Weile alles wieder still, ohne daß es sein Bett erreicht oder daß er etwas Genaueres zu erkennen vermocht hätte.",1,0,27
158,Am Kamin,Er konnte indessen diesmal den Schlaf so bald nicht wiederfinden und hörte vom Kirchturm eine Stunde nach der andern schlagen;,1,0,20
159,Am Kamin,"endlich brach draußen der Mond durch die Wolken und schien in die Kammer, aber er beleuchtete nur die nackten Wände.",1,0,20
160,Am Kamin,"Der Gesell, so wenig angenehm ihm diese Dinge waren, beschloß bei sich, gegen jedermann zu schweigen, am wenigsten aber sich von jenem Unheimlichen vom Platze verdrängen zu lassen.",0,0,28
161,Am Kamin,Wie gewöhnlich gingen auch die nun folgenden Nächte ohne Störung vorüber.,0,0,11
162,Am Kamin,"Nach Verlauf eines Monats kehrte er spät in der Nacht von einem benachbarten Orte zurück, wohin ihn sein Meister mit einem Geschäftsauftrage gesandt hatte.",0,0,24
163,Am Kamin,"Er ging, als die Stadt erreicht war, nicht durch die Straßen, sondern an der Stadtmauer entlang, um durch den Garten in das Hinterhaus zu gelangen, wozu er den Schlüssel von seinem Meister erhalten hatte.",0,0,34
164,Am Kamin,Es war heller Mondschein.,1,0,4
